summonerName,summonerLevel,rank,wins,losses,winRate,kills,deaths,assists,prefLane,campsKilled,minionsKilled,goldEarned,turretTakedowns,visionScore,dragonKills,longestTimeSpentLiving,totalDamageDealt,totalDamageTaken,gameDuration,gameStart
RoséPosié,712,BRONZE,13,12,0.52,3.2,6.72,15.36,SUPPORT,0.8,50.32,8982.2,1,45.56,0,506.96,48651.12,544240,28.566666666666663,7.215999999999999
Xest,199,BRONZE,12,13,0.48,8.36,5.72,14.44,SUPPORT,1.72,47.4,11866.56,0,29.96,0,494.0,78143.68,441284,24.580666666666666,16.4
SilverHawk0,340,BRONZE,11,14,0.44,8.2,9.0,7.88,TOP,5.16,186.16,13236.6,1,19.96,0,438.64,150665.56,743065,30.250666666666667,16.724666666666668
Res93,61,BRONZE,12,13,0.48,8.6,7.52,8.2,ADC,9.36,190.0,13367.08,2,25.36,0,558.36,170517.52,594545,30.93133333333333,17.265333333333334
B3tterTh4nYo0,124,BRONZE,8,17,0.32,5.24,7.32,8.76,JUNGLE,53.56,97.76,11655.24,0,21.28,0,563.4,152541.04,652545,29.8,13.505333333333336
cndyksh,463,BRONZE,16,9,0.64,8.44,6.96,6.44,TOP,3.0,136.44,12595.8,2,16.28,0,490.44,122873.72,839827,28.432666666666663,17.368
LeMMe THink,508,BRONZE,14,11,0.56,6.0,7.12,6.0,NONE,24.0,69.56,13705.04,1,10.88,0,309.28,115038.64,741382,23.23933333333333,18.082666666666668
DawnOfWarr,642,BRONZE,11,14,0.44,10.04,8.4,8.68,MIDDLE,20.2,135.44,13852.64,1,14.2,0,511.12,151318.88,743666,30.590666666666667,16.532
Someone creepy,139,BRONZE,12,13,0.48,7.96,11.76,18.56,NONE,0.24,68.6,12101.4,1,6.48,0,256.84,73314.04,732080,22.040666666666667,16.8
Avalanche2510,488,BRONZE,10,15,0.4,4.96,8.2,9.36,ADC,1.2,161.76,11517.28,2,21.12,0,571.4,135141.56,578895,31.28,19.454
Fran1kenStein,316,BRONZE,15,10,0.6,4.28,7.28,12.64,SUPPORT,1.68,120.2,11343.76,1,37.72,0,648.4,102434.12,659661,32.49,16.38533333333333
Hide The Memes,30,BRONZE,7,2,0.7777777777777778,10.88888888888889,6.111111111111111,11.11111111111111,MIDDLE,32.333333333333336,176.66666666666666,15715.555555555557,3,18.22222222222222,0,664.5555555555555,207158.3333333333,260929,32.412962962962965,18.14814814814815
xfili02,337,BRONZE,10,15,0.4,6.08,7.0,9.92,TOP,10.32,171.92,12873.36,1,15.44,0,554.4,171467.2,722526,28.46933333333333,18.442666666666664
Pok1 Feet,323,BRONZE,12,13,0.48,6.92,5.56,5.08,MIDDLE,5.96,180.48,11631.56,0,17.2,0,608.92,140302.32,558984,27.98133333333333,17.744666666666667
didacfaker,406,BRONZE,11,14,0.44,7.64,7.2,6.52,ADC,9.88,209.84,14016.32,2,21.28,0,586.92,181596.12,642326,32.099333333333334,12.637333333333334
xGhato40k,332,BRONZE,17,8,0.68,6.64,6.36,10.04,NONE,5.44,78.68,16141.48,1,8.6,0,301.28,101252.96,696953,23.479333333333333,15.296
Shinnoke,143,BRONZE,13,12,0.52,9.12,8.6,18.96,SUPPORT,17.8,37.52,12723.76,2,18.64,0,442.68,82693.92,637542,27.208,16.978666666666665
